"product_id","name","category","brand","price"
"7","Chanel Coco Noir Eau De","fragrances","Chanel","129.99"
"8","Dior J'adore","fragrances","Dior","89.99"
"9","Dolce Shine Eau de","fragrances","Dolce & Gabbana","69.99"
"10","Gucci Bloom Eau de","fragrances","Gucci","79.99"
"11","Annibale Colombo Bed","furniture","Annibale Colombo","1899.99"
"12","Annibale Colombo Sofa","furniture","Annibale Colombo","2499.99"
"13","Bedside Table African Cherry","furniture","Furniture Co.","299.99"
"14","Knoll Saarinen Executive Conference Chair","furniture","Knoll","499.99"
"15","Wooden Bathroom Sink With Mirror","furniture","Bath Trends","799.99"
"168","Charger SXT RWD","vehicle","Charger SXT RWD","32999.99"
"78","Apple MacBook Pro 14 Inch Space Grey","laptops","Apple MacBook Pro 14 Inch Space Grey","1999.99"
"100","Apple Airpods","mobile-accessories","Apple Airpods","129.99"
"124","iPhone X","smartphones","iPhone X","899.99"
"122","iPhone 6","smartphones","iPhone 6","299.99"
"98","Rolex Submariner Watch","mens-watches","Rolex Submariner Watch","13999.99"
"125","Oppo A57","smartphones","Oppo A57","249.99"
"132","Samsung Galaxy S8","smartphones","Samsung Galaxy S8","499.99"
"80","Huawei Matebook X Pro","laptops","Huawei Matebook X Pro","1399.99"
"112","TV Studio Camera Pedestal","mobile-accessories","TV Studio Camera Pedestal","499.99"
"97","Rolex Datejust","mens-watches","Rolex Datejust","10999.99"
"128","Realme C35","smartphones","Realme C35","149.99"
"167","300 Touring","vehicle","300 Touring","28999.99"
"129","Realme X","smartphones","Realme X","299.99"
"117","Sportbike Motorcycle","motorcycle","Sportbike Motorcycle","7499.99"
"105","Apple MagSafe Battery Pack","mobile-accessories","Apple MagSafe Battery Pack","99.99"
"178","Corset Leather With Skirt","womens-dresses","Corset Leather With Skirt","89.99"
"191","Rolex Cellini Moonphase","womens-watches","Rolex Cellini Moonphase","15999.99"
"134","Vivo S1","smartphones","Vivo S1","249.99"
"190","IWC Ingenieur Automatic Steel","womens-watches","IWC Ingenieur Automatic Steel","4999.99"
"94","Longines Master Collection","mens-watches","Longines Master Collection","1499.99"
"88","Nike Air Jordan 1 Red And Black","mens-shoes","Nike Air Jordan 1 Red And Black","149.99"
"127","Oppo K1","smartphones","Oppo K1","299.99"
"181","Marni Red & Black Suit","womens-dresses","Marni Red & Black Suit","179.99"
"160","Samsung Galaxy Tab S8 Plus Grey","tablets","Samsung Galaxy Tab S8 Plus Grey","599.99"
"92","Sports Sneakers Off White Red","mens-shoes","Sports Sneakers Off White Red","109.99"
"133","Samsung Galaxy S10","smartphones","Samsung Galaxy S10","699.99"
"130","Realme XT","smartphones","Realme XT","349.99"
"193","Watch Gold for Women","womens-watches","Watch Gold for Women","799.99"
"90","Puma Future Rider Trainers","mens-shoes","Puma Future Rider Trainers","89.99"
"91","Sports Sneakers Off White & Red","mens-shoes","Sports Sneakers Off White & Red","119.99"
"82","New DELL XPS 13 9300 Laptop","laptops","New DELL XPS 13 9300 Laptop","1499.99"
"174","Prada Women Bag","womens-bags","Prada Women Bag","599.99"
"126","Oppo F19 Pro+","smartphones","Oppo F19 Pro+","399.99"
"121","iPhone 5s","smartphones","iPhone 5s","199.99"
"171","Pacifica Touring","vehicle","Pacifica Touring","31999.99"
